"sentence,""sentiment""RT @jerome_corsi: FIRE THESE DANGEROUS LUNATICS: FBI Investigated Whether President Trump Was Russian Agent After Comey Firing (VIDEO) http…, Negative
"RT @jdawsey1: “I’m a very honest person,” Trump said tonight on Fox. From WaPo last month: “By the end of the year, Trump had accumulated m…", Positive
"RT @ABC: JUST IN: A majority of Americans hold Pres. Trump and congressional Republicans mainly responsible for the government shutdown, ne…", Positive
"RT @realTylerZed: Actual headlines from “news” outlet, Vox Media:

September 11th, 2016: “The TSA is a waste of money that doesn’t save liv…", Negative
"RT @patrickLSimpson: Thread: Something rotten is going on with this lobbyist -Michael Esposito.

He was involved with SCL group, the Clinto…", Positive
"RT @BettyBowers: Tonight, Jeanine Pirro doing for free what it cost Trump $130,000 for Stormy Daniels to do him. https://t.co/b2et0WqMxz", Positive
"RT @CREWcrew: President Trump has gone to extraordinary lengths to conceal details of his conversations with Vladi­mir Putin, including rep…", Positive
"RT @keithboykin: Another poll shows Americans blame Trump for #TrumpShutdown. 

Can’t blame Democrats when (a) Trump admitted in the Oval O…", Positive
"RT @sarahkendzior: Other reasons for the sycophantic praise may be more nefarious. Namely:
1) Blackmail over personal life
2) Threats to fa…", Positive
"RT @RadioFreeTom: Trump: They should look into Cohen’s father-in-law, there’s a huge story there
Pirro: what’s the father-in-law’s name?
Tr…", Positive
RT @mitchellvii: President Trump even offered to take half as much for the wall and the same Democrats who voted $42 billion for the wall i…, Positive
"RT @CNNPolitics: “I think history will show that Donald Trump, the supposed great deal maker…business schools and management consultants wi…", Positive
"Bahahahaha! Typical uninformed indoctrinated students / WATCH: Students Harshly Condemn ‘Trump’ Immigration Quotes,… https://t.co/q5Fa7o0IMw", Negative
"@Finance8244 @guardian Blame didn’t need to be shifted. President gladly assumed blame.  Of course, Trump did say d… https://t.co/5Q3Vcov4Df", Positive
RT @tonyschwartz: There is now overwhelming circumstantial evidence that Trump conspired and colluded with Vladimir Putin and the Russian g…, Positive
RT @MiriamBrett: This is the grim reality of the archaic ‘gentleman’s agreement’ that means America chooses the World Bank president. This…, Negative
RT @Harryslaststand: If #DonaldTrump appointed Ivanka President of the World Bank; it would be the 21st century equivalent of when Caligula…, Positive
@GreenPeaches2 @RyanHillMI @realDonaldTrump @FoxNews @JesseBWatters @greggutfeld @HouseIntelComm No.. But your Trum… https://t.co/7Qp8kRO1ob, Positive
RT @robreiner: Like Nixon the GOP will turn on Trump. It’s just a matter of time., Positive
"RT @RBReich: McConnell could bring funding bill to floor, free GOP caucus to support it and get enough votes to override a Trump veto. Reca…", Positive
"RT @DFBHarvard: I have 3 questions tonight.

1. Where the Hell are all the Spineless Republican Senators?

2. Why aren't they speaking out…", Positive
RT @nowthisnews: ‘Is this how you make America great again?’ — Sen. Jon Tester held nothing back in his impassioned speech against Trump’s…, Positive
RT @MollyJongFast: Oh look a federal worker can’t afford her incelin because trump is holding the country hostage in the hopes of getting f…, Positive
"RT @D_PlaidShirtGuy: Thanks to Donald Trump &amp; his sycophants, increasing numbers of Americans &amp; the rest of the world now view our Intellig…", Positive
"RT @BetteMidler: #Trump says he's a ""professional at technology."" I think that means that he knows how to find the Twitter icon on his phon…", Positive
"RT @tribelaw: Consciousness of guilt:

https://t.co/zktzAakGXX", Positive
"Da draußen hocken 3 Kinders am Gerät und spielen Mario Kart 8.

Die Stimmung schwankt zwischen Lokalderby und Trump.", Positive
RT @psychdr100: Trump will not deny he is an agent of Russia. Donald Trump rages about being 'insulted' but won't deny being a Russian agen…, Positive
RT @seduloussteve: @AshaRangappa_ Just think of what an intelligence coup it would be if the FBI could flip Donald Trump to work as a spy f…, Positive
"RT @SaysHummingbird: McConnell calls votes to get workers their pay ‘absolutely pointless’

What would be your reply to this waste of space…", Negative
"RT @tribelaw: Trump’s deliberate coverup of all his exchanges with Putin, right down to grabbing and destroying his translator’s notes, amo…", Negative
RT @nowthisnews: Republicans hammered Obama for 'overreach' but have nothing to say when Trump threatens to declare an emergency to build h…, Positive
"RT @RepAdamSchiff: Trump’s shutdown is now the longest in U.S. history. Last week, I asked that my salary go unpaid until this ends and fed…", Positive
"RT @katierogers: Whites without college degrees still want a wall, but their disapproval of the president is growing and they are beginning…", Positive
"RT @djrothkopf: With all the facts against him, the only battle that Trump can possibly win is the battle for public opinion.  With that no…", Positive
"RT @JohnJHarwood: new CNN poll on how Americans view Trump’s performance as president: 37% approve, 57% disapprove", Positive
